ID	NAME	RARITY	IsDone	CLASS	ATTACK	HEALTH	DESCRIPTION	Keywords	Archetypes	Other Notes/Comments about this Card
36	Divine Executioner	Legendary	FALSE	Royalty	4	14	When this unit kills a foe, attacks again.		On-Combat Scaling, Multi-hit	
37	Risen	Token	FALSE	Undead	1	1				
38	Ghost	Token	FALSE	Undead	9	3				
39	Squire	Token	FALSE	Knight	2	2				
40			FALSE							
41	Heart Martyr	Common	FALSE	Knight	5	8	Final Wager: Give this unit's health to the unit on its right	Final Wager	General	
42	Unliving Armor	Common	FALSE	Undead	3	9	Final Wager: Summon a 9/3 Ghost in place of this unit	Final Wager	Token	
43	Blood Jester		FALSE		1	4	Whenever an Ally takes damage, deal 1 to a random Foe		Take Damage Build	
44	Magician		FALSE	Arcane	3	2	Showdown: Swap the order of units	Showdown	General	Two Magicians cancel each other out
45	Conscious Cloud	Rare	FALSE	Arcane	6	6	Obscured: Double this unit's stats for this stage	Obscured	On-Combat Scaling	
46			FALSE							
47		Mythic	FALSE							
48			FALSE				Showdown: Give all allies +2/+2		General	
49	Risen Phoenix	Token	FALSE	Beast	8	14				
50	Chariot	Rare	FALSE	Royalty	9	11	Final Wager: Summon 2/2 squires on your missing card slots	Final Wager	Token	
51	Phoenix Egg	Token	FALSE	Beast	0	1	Final Wager: Summon a Phoenix on the current slot.	Final Wager		
52	Dragon	Legendary	FALSE	Beast			Friendly Beast attacks Cleave	Cleave	Cleave	
53	Inspiring Shaman	Mythic	FALSE	Arcane	1	2	Whenever an Ally is summoned during combat, give all tokens +2/+0		Token	
54	Phoenix	Mythic	FALSE	Beast	8	14	Final Wager: Summons a 0/1 Phoenix Egg with "Final Wager: Summon a 8/14 Risen Phoenix.	Final Wager	Token, Final Wager	
55	Necromancer	Legendary	FALSE	Undead	2	4	Whenever an non-Risen Ally with Final Wager dies, summon a 1/1 Risen with the same Final Wager effect in its place.		Token, Final Wager	
56	Vampire	Mythic	FALSE	Undead	4	3	Showdown: One friendly unit transforms into a Vampire for this stage. Gain +2/+2 for each friendly Vampire.			
57	Flying Fan	Rare	FALSE	Mechanical	5	3	If Unobscured, reveal the enemy's left-most Obscured unit			
58	Poacher	Rare	FALSE	Citizen	8	8	Showdown: Mark the lowest attack enemy. If this unit kills the marked enemy, permanently gain +2/+2		Permanent Stat Scaler	
59	Giant	Rare	FALSE	Beast	8	12	After attacking, deal 1 Damage to ALL units		Multi-hit, Cleave, Take Damage Build	
60	Rusted Construct	Rare	FALSE	Mechanical	7	8	This unit's attacks do no damage until it has attacked at least two times		Multi-hit	
61	Tax Collector	Common	FALSE	Citizen	5	10	Gain +1/+1 for amount of buy-ins that are in pot		Chips/Gambling	Have the scale the amount based on the ante
62	Clockwork Construct	Common	FALSE	Mechanical	0	1	Gains +1/+1 for each round that has passed this encounter		General	
63	Cultist	Common	FALSE	Arcane	2	2	Showdown: Kill the unit on the right and permanently gain +2/+2		On-Combat Scaling, Final Wager	
64	Gambler	Rare	FALSE	Citizen	2	4	If Unobscured, whenever you Raise, deal 1 to a random unobscured Foe		Chips/Gambling	
